"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Consent","prolific","Q6..Ideology_econ","Q7..Ideology_social","DemRep_C","Educational.Level","AttentionCheck2","income","Household","inequality_subj_1","inequality_pol_1","inequality_luck_1_1","inequality_pol_sp1_1","inequality_pol_sp1_2","Q133","Q134","Q110","Q111","credibility_1","inequality_subj_2","inequality_pol_2","inequality_luck_2_1","inequality_pol_sp2_1","inequality_pol_sp2_2","selectedTitle","onlytext","array1","array2","bookmarked0","bookmarked1","bookmarked2","bookmarked3","bookmarked4","bookmarked5","bookmarked6","bookmarked7","bookmarked8","bookmarked9","bookmarked10","bookmarked11","bookmarked12","bookmarked13","bookmarked14","bookmarked15","bookmarked16","bookmarked17","bookmarked18","bookmarked19","bookmarkedtitle0","bookmarkedtitle1","bookmarkedtitle2","bookmarkedtitle3","bookmarkedtitle4","bookmarkedtitle5","bookmarkedtitle6","bookmarkedtitle7","bookmarkedtitle8","bookmarkedtitle9","bookmarkedtitle10","bookmarkedtitle11","bookmarkedtitle12","bookmarkedtitle13","bookmarkedtitle14","bookmarkedtitle15","bookmarkedtitle16","bookmarkedtitle17","bookmarkedtitle18","bookmarkedtitle19","shownLedeType","userChoice","validArticles","originalArticleTitle","secondArticleTitle","PROLIFIC_PID","STUDY_ID","SESSION_ID","selectedTitleSource","condition","original_row","statement_number","title","vote","json_index","found_in_field"
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"0","Housing crisis remains in Kentucky’s poor Appalachia region after flood waters recede","downvote",NA,NA
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"1","Racial Wealth Inequality Stays High In A Strong Economy","upvote",11,"title"
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"2","Status Drives Millennials To Spend More On Luxury Goods. Is Conspicuous Consumption Coming Back?","upvote",NA,NA
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"3","Minimum wage increasing in over a dozen cities and 3 states on July 1","upvote",30,"title"
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"4","Meet the millionaires living 'underconsumption': They shop at Aldi and Goodwill and own secondhand cars","upvote",NA,NA
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"5","The Housing Loophole That Lets Wealthy Investors Raise Rents on Poor Tenants","upvote",NA,NA
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"6","Universal Basic Income is Close to Being a Reality in One State","upvote",NA,NA
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"7","Here’s How Donald Trump's Net Worth Boomed In 2024","upvote",NA,NA
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"8","Vacant churches in Boston being transformed into affordable senior housing","upvote",32,"title"
"2025-11-28 07:47:32","2025-11-28 07:57:42","IP Address","100","610","True","2025-11-28 07:57:42","R_8bUCQQXK85hV0F0","anonymous","EN","I do consent to participate.","","Moderate","Moderate","Strongly Republican","Less than high school degree","Not at all interested,Extremely interested","","","7","7","","5","5","Is It Bad to Drink Coffee on an Empty Stomach?","Could Air Someday Power Your Flight? Airlines Are Betting on It.","","","20","7","7","","7","7","Surprising ways animals react to solar eclipses","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","original",1,"9","Joe Biden’s Stimulus Plan Contains an Experiment in Universal Basic Income","downvote",NA,NA
